time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
175.5,1,0,0,0,0,0.369446,150,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
275.5,1,2,0.6,0.12,0.012,0.231138,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
375.5,1,12,4.02,0.9,0.1008,0.2177,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
475.5,1,8,5.214,1.7628,0.267,0.228352,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
575.5,1,5,5.1498,2.4402,0.48432,0.240776,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
675.5,1,12,7.20486,3.39313,0.775201,0.296715,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
775.5,1,13,8.9434,4.50319,1.148,0.25064,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
875.5,1,7,8.36038,5.27463,1.56066,0.237229,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
975.5,1,0,5.85227,5.39015,1.94361,0.203516,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1075.5,1,0,4.09659,5.13144,2.26239,0.213979,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1175.5,1,3,3.76761,4.85868,2.52202,0.197303,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1275.5,1,5,4.13733,4.71441,2.74126,0.196067,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1375.5,1,0,2.89613,4.35075,2.90221,0.213704,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1475.5,1,2,2.62729,4.00606,3.01259,0.24553,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1575.5,1,8,4.2391,4.05267,3.1166,0.288629,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1675.5,1,4,4.16737,4.07561,3.2125,0.257241,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1775.5,1,8,5.31716,4.32392,3.32364,0.210867,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1875.5,1,6,5.52201,4.56354,3.44763,0.240805,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
1975.5,1,2,4.46541,4.54391,3.55726,0.225591,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2075.5,1,0,3.12579,4.26029,3.62756,0.230692,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2175.5,1,3,3.08805,4.02584,3.66739,0.194191,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2275.5,1,5,3.66164,3.953,3.69595,0.264803,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2375.5,1,3,3.46314,3.85503,3.71186,0.223853,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2475.5,1,2,3.0242,3.68886,3.70956,0.240852,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2575.5,1,3,3.01694,3.55448,3.69405,0.36064,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2675.5,1,2,2.71186,3.38595,3.66324,0.210491,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2775.5,1,2,2.4983,3.20842,3.61776,0.214218,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2875.5,1,3,2.64881,3.0965,3.56563,0.214031,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
2975.5,1,0,1.85417,2.84803,3.49387,0.246732,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3075.5,1,3,2.19792,2.71801,3.41629,0.211908,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3175.5,1,3,2.43854,2.66212,3.34087,0.20197,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3275.5,1,3,2.60698,2.65109,3.27189,0.218146,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3375.5,1,2,2.42489,2.60585,3.20529,0.221036,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3475.5,1,3,2.59742,2.60416,3.14518,0.208386,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3575.5,1,8,4.21819,2.92697,3.12335,0.266747,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3675.5,1,3,3.85274,3.11212,3.12223,0.213471,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3775.5,1,0,2.69691,3.02908,3.11292,0.218583,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3875.5,1,5,3.38784,3.10083,3.11171,0.255908,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
3975.5,1,2,2.97149,3.07496,3.10803,0.280446,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4075.5,1,0,2.08004,2.87598,3.08483,0.228846,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4175.5,1,7,3.55603,3.01199,3.07754,0.232044,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4275.5,1,6,4.28922,3.26744,3.09653,0.211731,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4375.5,1,2,3.60245,3.33444,3.12032,0.215032,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4475.5,1,5,4.02172,3.4719,3.15548,0.259194,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4575.5,1,5,4.3152,3.64056,3.20399,0.305544,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4675.5,1,8,5.42064,3.99657,3.28325,0.213422,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4775.5,1,8,6.19445,4.43615,3.39854,0.29836,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4875.5,1,3,5.23611,4.59614,3.5183,0.224772,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
4975.5,1,3,4.56528,4.58997,3.62546,0.245958,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5075.5,1,0,3.1957,4.31112,3.69403,0.231709,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5175.5,1,5,3.73699,4.19629,3.74426,0.317534,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5275.5,1,0,2.61589,3.88021,3.75785,0.235546,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5375.5,1,0,1.83112,3.47039,3.72911,0.247071,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5475.5,1,3,2.18179,3.21267,3.67746,0.232895,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5575.5,1,0,1.52725,2.87559,3.59727,0.245483,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5675.5,1,2,1.66908,2.63429,3.50098,0.210959,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5775.5,1,0,1.16835,2.3411,3.38499,0.216859,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5875.5,1,3,1.71785,2.21645,3.26813,0.325546,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
5975.5,1,3,2.10249,2.19366,3.16069,0.217247,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6075.5,1,2,2.07174,2.16927,3.06154,0.233409,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6175.5,1,5,2.95022,2.32546,2.98794,0.234909,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6275.5,1,9,4.76515,2.8134,2.97048,0.254898,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6375.5,1,7,5.43561,3.33784,3.00722,0.2465,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6475.5,1,5,5.30493,3.73126,3.07962,0.188137,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6575.5,1,3,4.61345,3.9077,3.16243,0.236236,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6675.5,1,5,4.72941,4.07204,3.25339,0.347374,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6775.5,1,3,4.21059,4.09975,3.33803,0.246598,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6875.5,1,3,3.84741,4.04928,3.40915,0.221349,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
6975.5,1,2,3.29319,3.89806,3.45804,0.236624,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7075.5,1,10,5.30523,4.1795,3.53019,0.217198,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7175.5,1,8,6.11366,4.56633,3.6338,0.259623,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7275.5,1,8,6.67956,4.98898,3.76932,0.26961,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7375.5,1,5,6.17569,5.22632,3.91502,0.258499,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7475.5,1,26,12.123,6.60565,4.18408,0.220274,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7575.5,1,11,11.7861,7.64174,4.52985,0.251036,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7675.5,1,0,8.25026,7.76345,4.85321,0.239298,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7775.5,1,11,9.07518,8.02579,5.17047,0.252173,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7875.5,1,13,10.2526,8.47116,5.50054,0.247562,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
7975.5,1,14,11.3768,9.0523,5.85571,0.214311,0,0,,0,0,0,0,0,0,0,0,101237,102654,0,177,0
