time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
289,2,0,0,0,0,0.523529,151,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
389,2,0,0,0,0,0.46116,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
489,2,0,0,0,0,0.461695,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
589,2,0,0,0,0,0.408982,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
689,2,18,5.4,1.08,0.108,0.50147,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
789,2,0,3.78,1.62,0.2592,0.428782,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
889,2,6,4.446,2.1852,0.4518,0.444744,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
989,2,3,4.0122,2.5506,0.66168,0.407928,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
1089,2,16,7.60854,3.56219,0.951731,0.421815,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
1189,2,2,5.92598,4.03495,1.26005,0.488517,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
1289,2,5,5.64818,4.35759,1.56981,0.41734,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
1389,2,6,5.75373,4.63682,1.87651,0.418051,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
1489,2,2,4.62761,4.63498,2.15235,0.416161,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
1589,2,5,4.73933,4.65585,2.4027,0.426637,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
1689,2,3,4.21753,4.56818,2.61925,0.382536,3,0,,0,0,0,0,0,0,0,0,92728,93149,0,135,0
1789,2,41,15.2523,6.705,3.02783,2.90854,24,296.8,,0,87.6,0,0,0,0,0,0.12972,92757,93149,0,163,167
1889,2,6,12.4766,7.85932,3.51098,1.95199,25,35.1021,,0,6.80736,1.26165,0.144303,0.00381765,0,2.06847,0.00409236,92757,93149,0,163,5
1989,2,1,9.03361,8.09418,3.9693,2.05148,25,18.2387,,0,7.57716,1.45616,0.00807451,0.0043103,0,1.91472,0.00193194,92757,93149,0,163,0
2089,2,4,7.52353,7.98005,4.37037,2.05898,25,17.5493,,0,6.0608,7.49119,0.00317943,0.00367876,0,2.41863,0.00171334,92757,93149,0,163,0
2190,2,23.7624,12.3952,8.86308,4.81964,2.16081,25,19.2944,,0,2.30101,1.02699,0.00353502,0.00401115,0,2.09986,0.00175107,92757,93149,0,163,0
2290,2,0,8.67663,8.82579,5.22026,1.81385,25,15.933,,0,0.429182,1.73591,0.00382092,0.0045627,0,2.18888,0.00165951,92757,93149,0,163,0
2390,2,0,6.07364,8.27536,5.52577,1.82033,26,16.0935,,0,6.03014,1.48902,0.00344718,0.00383888,0,2.27386,0.00203328,92757,93149,0,163,0
2490,2,1,4.55155,7.53059,5.72625,1.84836,26,15.2816,,0,6.06672,0.0171672,0.00251819,0.00321689,0,2.20281,0.00207618,92757,93149,0,163,0
2590,2,0,3.18608,6.66169,5.81979,1.8017,26,23.2456,,0,0.674633,1.3893,0.00269408,0.00331716,0,2.07283,0.00198955,92757,93149,0,163,0
2690,2,0,2.23026,5.77541,5.81535,1.8276,26,15.9676,,0,0.318187,2.07446,0.00305767,0.00375334,0,2.12691,0.00186826,92757,93149,0,163,0
2790,2,1,1.86118,4.99256,5.73307,1.83179,25,21.9763,,0,7.72373,0.0191335,0.00266585,0.00337639,0,1.97987,0.00170492,92757,93149,0,163,0
2890,2,0,1.30283,4.25461,5.58523,1.68628,24,22.8504,,0,0.958272,0.391063,0.00337529,0.00419901,0,2.35465,0.00200491,92757,93149,0,163,0
2990,2,2,1.51198,3.70609,5.39731,2.09789,24,18.1277,,0,3.2809,0.703403,0.00296496,0.00346908,0,1.92959,0.00212657,92757,93149,0,163,0
3090,2,8,3.45838,3.65655,5.22324,2.51707,24,18.0596,,0,6.41681,0.00108846,0.00323238,0.00369779,0,2.1122,0.00163851,92757,93149,0,163,0
3190,2,0,2.42087,3.40941,5.04185,2.8016,24,16.2243,,0,0.486175,1.14689,0.00349963,0.00430823,0,1.9717,0.00264309,92757,93149,0,163,0
3290,2,3,2.59461,3.24645,4.86231,3.66552,24,15.6491,,0,5.46696,2.96234,0.00447909,0.00417689,0,1.98614,0.00202938,92757,93149,0,163,0
3390,2,9,4.51623,3.50041,4.72612,2.20854,25,18.7022,,0,5.79313,0.729583,0.00374538,0.00418671,0,2.04782,0.00187188,92757,93149,0,163,0
3490,2,1,3.46136,3.4926,4.60277,2.07936,24,17.2169,,0,6.52451,3.04786,0.00350374,0.00413199,0,2.24808,0.00181794,92757,93149,0,163,0
3590,2,0,2.42295,3.27867,4.47036,2.6649,24,21.6574,,0,1.72331,1.61704,0.00298729,0.00345663,0,2.34488,0.00173942,92757,93149,0,163,0
3690,2,1,1.99607,3.02215,4.32554,2.75718,24,16.2339,,0,0.9337,3.41378,0.00280021,0.00349528,0,2.1988,0.00175575,92757,93149,0,163,0
3790,2,4,2.59725,2.93717,4.1867,2.09961,24,16.1077,,0,6.72262,2.58403,0.00379914,0.00454989,0,2.30778,0.00226169,92757,93149,0,163,0
