time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
169,1,0,0,0,0,0.407623,149,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
269,1,6,1.8,0.36,0.036,0.279883,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
369,1,8,3.66,1.02,0.1344,0.231621,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
469,1,12,6.162,2.0484,0.3258,0.281959,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
569,1,5,5.8134,2.8014,0.57336,0.256684,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
669,1,12,7.66938,3.775,0.893524,0.248635,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
769,1,11,8.66857,4.75371,1.27954,0.25831,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
869,1,11,9.368,5.67657,1.71924,0.261885,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
969,1,11,9.8576,6.51277,2.1986,0.249448,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1069,1,12,10.5003,7.31028,2.70977,0.298609,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1169,1,5,8.85022,7.61827,3.20062,0.226722,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1269,1,6,7.99516,7.69365,3.64992,0.245846,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1369,1,2,6.19661,7.39424,4.02435,0.256621,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1469,1,25,11.8376,8.28292,4.45021,0.33237,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1569,1,5,9.78634,8.5836,4.86355,0.214133,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1669,1,5,8.35044,8.53697,5.23089,0.267222,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1769,1,18,11.2453,9.07864,5.61566,0.270871,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1869,1,21,14.1717,10.0973,6.06382,0.242159,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
1969,1,11,13.2202,10.7218,6.52962,0.295971,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2069,1,6,11.0541,10.7883,6.95549,0.252059,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2169,1,10,10.7379,10.7782,7.33777,0.258385,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2269,1,0,7.51653,10.1259,7.61658,0.250035,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2369,1,0,5.26157,9.15302,7.77022,0.289611,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2469,1,0,3.6831,8.05904,7.7991,0.277886,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2569,1,0,2.57817,6.96286,7.71548,0.304474,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2669,1,0,1.80472,5.93123,7.53705,0.288098,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2769,1,20,7.2633,6.19765,7.40311,0.241085,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2869,1,17,10.1843,6.99498,7.3623,0.209747,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
2969,1,7,9.22902,7.44179,7.37025,0.268536,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3069,1,6,8.26031,7.60549,7.39377,0.268433,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3169,1,0,5.78222,7.24084,7.37848,0.243519,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3269,1,0,4.04755,6.60218,7.30085,0.224691,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3369,1,0,2.83329,5.8484,7.1556,0.222042,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3469,1,0,1.9833,5.07538,6.94758,0.245527,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3569,1,11,4.68831,4.99797,6.75262,0.23554,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3669,1,11,6.58182,5.31474,6.60883,0.243002,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3769,1,16,9.40727,6.13324,6.56127,0.243002,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3869,1,11,9.88509,6.88361,6.59351,0.229615,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
3969,1,11,10.2196,7.5508,6.68924,0.268502,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
4069,1,0,7.15369,7.47138,6.76745,0.31384,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
4169,1,2,5.60759,7.09862,6.80057,0.254868,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
4269,1,27,12.0253,8.08396,6.92891,0.253467,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
4369,1,19,14.1177,9.29071,7.16509,0.327893,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
4469,1,28,18.2824,11.0891,7.55748,0.217807,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
4569,1,13,16.6977,12.2108,8.02281,0.250782,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
4669,1,10,14.6884,12.7063,8.49116,0.23882,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
4769,1,11,13.5819,12.8814,8.93019,0.249407,0,0,,0,0,0,0,0,0,0,0,101182,102654,0,205,0
